anio,alcaldia_norm,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA
2018.0,CDMX INDETERMINADA,78,1.0,8.0,34,0,700.0,700.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018.0,COYOACAN,17128,6583.0,960.0,438,0,16.6641,16.6641,639.0,1434.0,219.0,48.0,1621.0,688.0,1934.0,0.0
2018.0,CUAJIMALPA DE MORELOS,3567,935.0,261.0,286,0,24.1573,24.1573,133.0,298.0,12.0,17.0,124.0,64.0,287.0,0.0
2018.0,CUAUHTEMOC,41691,16862.0,3836.0,628,0,104.0518,104.0518,759.0,3182.0,3278.0,192.0,5329.0,1550.0,2572.0,0.0
2018.0,GUSTAVO A MADERO,25568,10311.0,1008.0,509,0,36.0094,36.0094,793.0,2135.0,847.0,319.0,2535.0,890.0,2792.0,0.0
2018.0,IZTACALCO,11099,4917.0,398.0,369,0,8.2463,8.2463,324.0,568.0,471.0,65.0,1858.0,329.0,1302.0,0.0
2018.0,IZTAPALAPA,37902,16076.0,1146.0,543,0,92.6984,92.6984,945.0,3355.0,1274.0,792.0,5193.0,665.0,3852.0,0.0
2018.0,LA MAGDALENA CONTRERAS,3661,901.0,125.0,266,0,4.6371,4.6371,211.0,164.0,25.0,14.0,182.0,66.0,239.0,0.0
2018.0,MIGUEL HIDALGO,16821,7894.0,1366.0,446,0,25.1489,25.1489,422.0,1729.0,665.0,119.0,2243.0,513.0,2203.0,0.0
2018.0,MILPA ALTA,1783,365.0,59.0,207,0,10.7521,10.7521,104.0,49.0,9.0,7.0,60.0,15.0,121.0,0.0
2018.0,TLAHUAC,5908,1798.0,193.0,332,0,20.6957,20.6957,214.0,305.0,105.0,89.0,551.0,81.0,453.0,0.0
2018.0,TLALPAN,14576,4873.0,753.0,420,0,23.219099999999997,23.219099999999997,614.0,1033.0,138.0,42.0,951.0,556.0,1539.0,0.0
2018.0,VENUSTIANO CARRANZA,15192,5344.0,552.0,412,0,30.461,30.461,368.0,1138.0,576.0,113.0,1524.0,428.0,1197.0,0.0
2018.0,XOCHIMILCO,7668,2722.0,262.0,362,0,24.709000000000003,24.709000000000003,401.0,465.0,120.0,128.0,757.0,104.0,747.0,0.0
2018.0,,2484,710.0,157.0,258,0,999.8785,999.8785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,ALVARO OBREGON,18183,6765.0,975.0,386,0,67.3363,67.3363,549.0,1528.0,339.0,300.0,1329.0,466.0,2254.0,0.0
2019.0,AZCAPOTZALCO,11029,4254.0,624.0,336,0,11.4103,11.4103,325.0,1119.0,221.0,169.0,1009.0,360.0,1051.0,0.0
2019.0,BENITO JUAREZ,20406,8466.0,2010.0,403,0,7.291499999999999,7.291499999999999,583.0,2128.0,725.0,115.0,1157.0,1607.0,2151.0,0.0
2019.0,CDMX INDETERMINADA,123,0.0,19.0,45,0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,COYOACAN,15898,5515.0,1063.0,364,0,13.8161,13.8161,504.0,1457.0,282.0,83.0,800.0,651.0,1738.0,0.0
2019.0,CUAJIMALPA DE MORELOS,3810,948.0,309.0,241,0,9.868500000000001,9.868500000000001,149.0,391.0,11.0,18.0,103.0,36.0,240.0,0.0
2019.0,CUAUHTEMOC,38128,12447.0,4411.0,524,0,82.16159999999999,82.16159999999999,699.0,3351.0,1630.0,202.0,2997.0,1437.0,2131.0,0.0
2019.0,GUSTAVO A MADERO,24592,9110.0,1063.0,420,0,28.1481,28.1481,688.0,2225.0,773.0,416.0,1949.0,751.0,2308.0,0.0
2019.0,IZTACALCO,10240,4099.0,400.0,319,0,15.0635,15.0635,258.0,587.0,549.0,183.0,1136.0,400.0,986.0,0.0
2019.0,IZTAPALAPA,38726,14821.0,1403.0,462,0,40.0799,40.0799,932.0,3367.0,1278.0,1054.0,3714.0,820.0,3656.0,0.0
2019.0,LA MAGDALENA CONTRERAS,4065,1004.0,173.0,237,0,3.9693999999999994,3.9693999999999994,224.0,186.0,38.0,25.0,159.0,89.0,283.0,0.0
2019.0,MIGUEL HIDALGO,16296,6886.0,1353.0,381,0,19.0681,19.0681,412.0,1650.0,442.0,231.0,1704.0,463.0,1984.0,0.0
2019.0,MILPA ALTA,1702,312.0,49.0,189,0,26.230999999999998,26.230999999999998,65.0,53.0,18.0,3.0,61.0,19.0,93.0,0.0
2019.0,TLAHUAC,6079,1715.0,201.0,276,0,26.0474,26.0474,192.0,202.0,181.0,61.0,476.0,119.0,484.0,0.0
2019.0,TLALPAN,14662,4789.0,773.0,388,0,19.1197,19.1197,591.0,1245.0,173.0,94.0,579.0,411.0,1696.0,0.0
2019.0,VENUSTIANO CARRANZA,14664,5164.0,644.0,375,0,16.8611,16.8611,300.0,1070.0,569.0,232.0,1464.0,432.0,1097.0,0.0
2019.0,XOCHIMILCO,7528,2320.0,335.0,314,0,32.3453,32.3453,276.0,375.0,133.0,116.0,580.0,146.0,694.0,0.0
2019.0,,2562,597.0,144.0,237,0,799.8536,799.8536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,ALVARO OBREGON,15109,5033.0,1011.0,365,0,35.5533,35.5533,350.0,1331.0,227.0,328.0,1106.0,377.0,1314.0,0.0
2020.0,AZCAPOTZALCO,10271,3816.0,577.0,311,0,14.7547,14.7547,200.0,1035.0,106.0,147.0,964.0,341.0,1023.0,0.0
2020.0,BENITO JUAREZ,15368,5995.0,1859.0,353,0,5.0148,5.0148,210.0,1789.0,193.0,65.0,883.0,1426.0,1429.0,0.0
2020.0,CDMX INDETERMINADA,173,4.0,17.0,70,0,700.0,700.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
2020.0,COYOACAN,13662,4556.0,1099.0,341,0,7.4051,7.4051,324.0,1357.0,144.0,75.0,645.0,578.0,1433.0,0.0
2020.0,CUAJIMALPA DE MORELOS,3428,768.0,352.0,234,0,5.3391,5.3391,104.0,331.0,24.0,7.0,98.0,31.0,173.0,0.0
2020.0,CUAUHTEMOC,28809,8148.0,3326.0,474,0,71.5713,71.5713,413.0,2196.0,641.0,139.0,1559.0,1548.0,1652.0,0.0
2020.0,GUSTAVO A MADERO,21845,6602.0,1221.0,373,0,17.0119,17.0119,490.0,2047.0,346.0,253.0,1158.0,661.0,1647.0,0.0
2020.0,IZTACALCO,8178,2456.0,429.0,283,0,4.4049,4.4049,169.0,323.0,226.0,119.0,562.0,291.0,766.0,0.0
2020.0,IZTAPALAPA,31828,10396.0,1362.0,467,0,31.5166,31.5166,639.0,2385.0,841.0,580.0,2291.0,613.0,3047.0,0.0
2020.0,LA MAGDALENA CONTRERAS,4071,776.0,203.0,216,0,10.0871,10.0871,101.0,117.0,31.0,28.0,138.0,82.0,279.0,0.0
2020.0,MIGUEL HIDALGO,12787,4600.0,1381.0,350,0,8.8305,8.8305,227.0,1238.0,190.0,129.0,1109.0,509.0,1198.0,0.0
2020.0,MILPA ALTA,1789,263.0,53.0,170,0,23.159599999999998,23.159599999999998,54.0,20.0,1.0,10.0,57.0,15.0,106.0,0.0
2020.0,TLAHUAC,6013,1327.0,263.0,279,0,16.1092,16.1092,122.0,199.0,87.0,77.0,385.0,56.0,401.0,0.0
2020.0,TLALPAN,12769,3754.0,837.0,337,0,6.5038,6.5038,361.0,1098.0,132.0,89.0,433.0,364.0,1277.0,0.0
2020.0,VENUSTIANO CARRANZA,11938,3514.0,709.0,336,0,6.471,6.471,200.0,806.0,259.0,119.0,909.0,457.0,764.0,0.0
2020.0,XOCHIMILCO,7153,1682.0,362.0,281,0,11.4198,11.4198,202.0,249.0,84.0,53.0,336.0,86.0,672.0,0.0
2020.0,,1928,398.0,118.0,197,0,699.7391,699.7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,ALVARO OBREGON,16059,4306.0,1278.0,411,0,14.8247,14.8247,251.0,1033.0,231.0,211.0,1037.0,383.0,1159.0,1.0
2021.0,AZCAPOTZALCO,11593,3692.0,848.0,397,0,15.3569,15.3569,168.0,944.0,124.0,123.0,1153.0,385.0,794.0,1.0
2021.0,BENITO JUAREZ,16180,5508.0,2339.0,438,0,9.045,9.045,161.0,1510.0,182.0,41.0,1063.0,1302.0,1249.0,0.0
2021.0,CDMX INDETERMINADA,721,135.0,56.0,140,0,700.0,700.0,1.0,0.0,95.0,7.0,16.0,3.0,13.0,0.0
2021.0,COYOACAN,15658,4663.0,1325.0,407,0,6.6138,6.6138,290.0,1190.0,233.0,66.0,842.0,676.0,1366.0,0.0
2021.0,CUAJIMALPA DE MORELOS,3931,768.0,463.0,272,0,18.0855,18.0855,58.0,282.0,33.0,10.0,102.0,63.0,220.0,0.0
2021.0,CUAUHTEMOC,33430,8371.0,3878.0,560,0,52.086,52.086,360.0,1793.0,668.0,135.0,1655.0,1850.0,1909.0,1.0
2021.0,GUSTAVO A MADERO,23781,6323.0,1457.0,495,0,18.7902,18.7902,392.0,1625.0,358.0,204.0,1484.0,730.0,1527.0,3.0
2021.0,IZTACALCO,9597,2451.0,602.0,349,0,15.9885,15.9885,143.0,324.0,213.0,104.0,651.0,341.0,674.0,1.0
2021.0,IZTAPALAPA,33475,9345.0,1686.0,553,0,16.8611,16.8611,646.0,1837.0,722.0,534.0,2576.0,678.0,2350.0,2.0
2021.0,LA MAGDALENA CONTRERAS,4493,765.0,250.0,277,0,2.3416,2.3416,125.0,95.0,41.0,32.0,131.0,97.0,244.0,0.0
2021.0,MIGUEL HIDALGO,13662,4435.0,1636.0,439,0,6.404800000000001,6.404800000000001,172.0,945.0,245.0,117.0,1106.0,582.0,1268.0,0.0
2021.0,MILPA ALTA,2416,303.0,108.0,221,0,31.0165,31.0165,72.0,36.0,8.0,9.0,59.0,19.0,100.0,0.0
2021.0,TLAHUAC,7182,1333.0,343.0,336,0,12.293299999999999,12.293299999999999,158.0,187.0,101.0,51.0,329.0,81.0,426.0,0.0
2021.0,TLALPAN,13963,3645.0,1078.0,409,0,6.4672,6.4672,335.0,849.0,189.0,91.0,611.0,378.0,1190.0,2.0
2021.0,VENUSTIANO CARRANZA,12948,3652.0,862.0,403,0,10.7618,10.7618,182.0,768.0,256.0,102.0,1168.0,501.0,675.0,0.0
2021.0,XOCHIMILCO,7660,1560.0,449.0,342,0,16.4792,16.4792,174.0,161.0,104.0,78.0,340.0,137.0,566.0,0.0
2021.0,,2409,462.0,101.0,244,0,699.9235,699.9235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,ALVARO OBREGON,15680,3656.0,1253.0,591,0,25.3614,25.3614,188.0,895.0,170.0,127.0,1020.0,317.0,939.0,0.0
2022.0,AZCAPOTZALCO,11641,3131.0,865.0,533,0,4.2915,4.2915,183.0,803.0,95.0,54.0,881.0,387.0,727.0,1.0
2022.0,BENITO JUAREZ,16952,5216.0,2504.0,604,0,10.8395,10.8395,159.0,1331.0,237.0,32.0,880.0,1307.0,1270.0,0.0
