label,precision,recall,f1-score,support
alto,0.6666666666666666,0.8888888888888888,0.7619047619047619,27.0
bajo,0.8235294117647058,0.5185185185185185,0.6363636363636364,27.0
medio,0.6666666666666666,0.6923076923076923,0.6792452830188679,26.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7189542483660131,0.6999050332383666,0.6925045604290886,80.0
weighted avg,0.7196078431372548,0.7,0.6926703013967164,80.0
