feature,importance
CENJ_wmean,0.13949390716892013
nbi_wmean,0.1352327534244328
ett_wmean,0.1335367699640326
rei_wmean,0.12427964738695126
mmip_wmean,0.11422904352162046
CSj_wmean,0.09087127727183454
CASi_wmean,0.07916710103017897
CASSi_wmean,0.07213186892290002
cyt_wmean,0.06322818732491195
CBDj_wmean,0.047829443984217256
