anio,alcaldia_norm,n_registros,factor_sum,mmip_wmean,rei_wmean,nbi_wmean,CBDj_wmean,CSj_wmean,CENJ_wmean,ett_wmean,CASi_wmean,CASSi_wmean,cyt_wmean,ccevj_wmean,E_mmip_wmode,E_rei_wmode,E_nbi_wmode,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA
2016,ALVARO OBREGON,397,659539.0,-0.016351231071553014,-0.09501206541336751,-0.02054097830580754,-0.4496209053687394,0.06764386344222859,0.0,0.9784258141660614,0.0834918411369502,0.3609589425341034,-0.013848091002492645,-0.08598935595185576,3,5,5,12823,3993.0,650.0,282,0,16.372799999999998,16.372799999999998,366.0,1068.0,134.0,110.0,932.0,223.0,1160.0,0.0
2016,AZCAPOTZALCO,245,393527.0,-0.006373777844600237,-0.06926029523948547,-0.01841495500378373,-0.45716210019116865,0.08781068389208364,0.00503345356519883,1.0004315042099576,0.09718464376851396,0.30549174516615124,0.0008201518308095634,-0.0831500560109446,3,5,5,10455,3852.0,516.0,274,0,24.5944,24.5944,371.0,1021.0,124.0,85.0,802.0,288.0,1161.0,0.0
2016,BENITO JUAREZ,242,525216.0,-0.3209875908940741,-0.24943899028145375,-0.21212345444142408,-0.7089013397855797,0.020898544598793638,0.0,0.962998408772071,-0.1509822096789892,0.2018598062511424,-0.38602782583809137,-0.3256148709742411,5,5,5,17346,6049.0,1757.0,327,0,4.6731,4.6731,647.0,1776.0,194.0,49.0,1265.0,679.0,1439.0,0.0
2016,COYOACAN,277,459883.0,0.010756621839076472,-0.08168986120374314,0.029540443983835016,-0.3041034977147383,0.129662794262906,0.0,0.9642092272926049,0.10227794120273201,0.38142962449144674,-0.0004656620265045651,0.008096073948349889,3,5,3,14204,4697.0,826.0,292,0,27.2498,27.2498,480.0,1348.0,129.0,45.0,875.0,344.0,1476.0,0.0
2016,CUAJIMALPA DE MORELOS,169,216080.0,0.0977523502544428,0.009550583705016661,0.11683557913427434,-0.22501222201918733,0.22512231015586817,0.009179932807219548,1.0316188959947936,0.1290881747826777,0.28525546094039245,0.08635118810162905,0.20066457601306,3,4,3,2972,641.0,204.0,206,0,25.0915,25.0915,91.0,280.0,12.0,10.0,74.0,29.0,145.0,0.0
2016,CUAUHTEMOC,589,951496.0,-0.03506848653807267,-0.13012934752896177,-0.07466601781869603,-0.3492887808332258,0.021946111462610458,0.00030730552987716185,1.0777357599230852,0.0422108819534512,0.3275531373752491,-0.011411174843642012,-0.19836729272684697,5,5,5,34214,9057.0,3573.0,448,0,154.785,154.785,566.0,2440.0,827.0,112.0,3192.0,503.0,1417.0,0.0
2016,GUSTAVO A MADERO,672,1016468.0,0.11350365845838727,-0.02626133400593526,0.05160855379582929,-0.326944712296088,0.11459245150323868,0.000934215285699107,1.0409569827954577,0.16129343355781492,0.4108951290153748,0.15048252216930488,-0.0006895171060377627,3,5,3,19754,6984.0,864.0,340,0,48.522,48.522,673.0,1768.0,344.0,241.0,1535.0,353.0,2070.0,0.0
2016,IZTACALCO,286,458083.0,0.07205993497547605,-0.09984606235677816,0.03434706865278345,-0.4091352809748364,0.10654912242382275,0.0061124290401521125,1.106484704702842,0.16221188424961633,0.4147545313840505,0.09459126464526514,0.017139541075152316,3,5,3,8408,2524.0,315.0,246,0,20.609099999999998,20.609099999999998,282.0,393.0,157.0,61.0,676.0,185.0,770.0,0.0
2016,IZTAPALAPA,1080,1667333.0,0.18744611905014052,0.009722210874068946,0.13487367110112797,-0.2995213141565182,0.247083352434152,0.0011407438621319197,1.0417328341375178,0.19341783905768492,0.5388502176829704,0.21885521797842303,0.1338847889226681,3,4,3,30323,10331.0,1012.0,371,0,51.16,51.16,891.0,2611.0,521.0,436.0,2806.0,342.0,2724.0,0.0
2016,LA MAGDALENA CONTRERAS,81,133845.0,0.018613523282080026,-0.09174181365807463,0.02362261003166349,-0.45433069799693676,0.1313049608133886,0.0,0.8749030364982255,0.051906003965161186,0.37846763046807874,0.015620875493406551,0.04313477539429189,3,5,5,3199,713.0,161.0,194,0,5.0256,5.0256,166.0,98.0,20.0,14.0,139.0,56.0,220.0,0.0
