alcaldia_id,tiempo_id,fuente_datos_id,total_delitos_fgj,total_robos_patrimoniales,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo
8,200800,3,15,0,0,0,0,0,0,0
9,200800,3,68,3,2,1,0,0,0,0
10,200800,3,7,0,0,0,0,0,0,0
11,200800,3,27,1,1,0,0,0,0,0
12,200800,3,1,0,0,0,0,0,0,0
13,200800,3,14,0,0,0,0,0,0,0
14,200800,3,34,2,0,0,2,0,0,0
15,200800,3,25,1,1,0,0,0,0,0
16,200800,3,18,0,0,0,0,0,0,0
2,200900,3,19,0,0,0,0,0,0,0
1,200900,3,25,0,0,0,0,0,0,0
3,200900,3,42,1,0,0,0,0,0,1
4,200900,3,26,0,0,0,0,0,0,0
5,200900,3,10,0,0,0,0,0,0,0
6,200900,3,210,0,0,0,0,0,0,0
7,200900,3,54,2,0,1,1,0,0,0
8,200900,3,14,1,0,0,0,1,0,0
9,200900,3,87,0,0,0,0,0,0,0
10,200900,3,7,0,0,0,0,0,0,0
11,200900,3,27,2,2,0,0,0,0,0
12,200900,3,4,0,0,0,0,0,0,0
13,200900,3,12,0,0,0,0,0,0,0
14,200900,3,23,0,0,0,0,0,0,0
15,200900,3,32,0,0,0,0,0,0,0
16,200900,3,20,0,0,0,0,0,0,0
2,201000,3,37,1,1,0,0,0,0,0
1,201000,3,55,4,2,0,0,0,1,1
3,201000,3,83,5,1,2,0,1,1,0
4,201000,3,51,4,1,2,0,0,0,1
5,201000,3,13,1,0,0,1,0,0,0
6,201000,3,296,13,8,2,0,1,2,0
7,201000,3,85,5,1,2,1,1,0,0
8,201000,3,31,2,0,1,0,1,0,0
9,201000,3,123,7,0,1,2,4,0,0
10,201000,3,12,0,0,0,0,0,0,0
11,201000,3,78,3,1,1,0,0,1,0
12,201000,3,4,0,0,0,0,0,0,0
13,201000,3,17,1,1,0,0,0,0,0
14,201000,3,65,6,1,1,2,1,1,0
15,201000,3,45,5,0,2,0,0,0,3
16,201000,3,25,1,0,0,0,1,0,0
2,201100,3,73,2,0,1,0,1,0,0
1,201100,3,54,1,1,0,0,0,0,0
3,201100,3,107,2,0,0,0,1,1,0
4,201100,3,58,5,2,0,2,0,1,0
5,201100,3,21,0,0,0,0,0,0,0
6,201100,3,401,4,0,0,1,1,1,1
7,201100,3,90,5,3,2,0,0,0,0
8,201100,3,37,3,2,1,0,0,0,0
9,201100,3,154,10,5,0,2,2,0,1
10,201100,3,15,0,0,0,0,0,0,0
11,201100,3,77,3,2,1,0,0,0,0
12,201100,3,7,1,0,1,0,0,0,0
13,201100,3,27,1,1,0,0,0,0,0
14,201100,3,56,5,1,1,2,0,0,1
15,201100,3,44,1,1,0,0,0,0,0
16,201100,3,28,2,2,0,0,0,0,0
2,201200,3,84,4,2,1,0,1,0,0
1,201200,3,63,1,0,0,0,1,0,0
3,201200,3,157,8,4,2,0,0,1,1
4,201200,3,73,5,1,1,0,2,1,0
5,201200,3,32,0,0,0,0,0,0,0
6,201200,3,622,4,2,2,0,0,0,0
7,201200,3,122,4,1,1,0,1,1,0
8,201200,3,46,3,2,0,0,0,0,1
9,201200,3,206,8,0,4,0,0,2,2
10,201200,3,26,0,0,0,0,0,0,0
11,201200,3,90,3,2,0,0,1,0,0
12,201200,3,14,0,0,0,0,0,0,0
13,201200,3,33,0,0,0,0,0,0,0
14,201200,3,87,2,0,0,0,2,0,0
15,201200,3,79,7,4,2,0,1,0,0
16,201200,3,47,2,0,0,0,0,0,2
2,201300,3,104,5,1,1,0,1,0,2
1,201300,3,81,2,0,1,0,0,0,1
3,201300,3,257,11,1,3,2,3,2,0
4,201300,3,123,4,1,1,0,2,0,0
5,201300,3,42,0,0,0,0,0,0,0
6,201300,3,813,8,3,2,1,1,1,0
7,201300,3,179,6,0,1,1,2,1,1
8,201300,3,58,1,0,1,0,0,0,0
9,201300,3,262,2,1,1,0,0,0,0
10,201300,3,39,1,0,0,0,1,0,0
11,201300,3,167,7,4,0,1,2,0,0
12,201300,3,8,0,0,0,0,0,0,0
13,201300,3,38,1,0,0,0,0,1,0
14,201300,3,104,2,1,1,0,0,0,0
15,201300,3,87,0,0,0,0,0,0,0
16,201300,3,70,2,1,0,1,0,0,0
2,201400,3,204,12,3,3,2,2,0,2
1,201400,3,161,11,4,0,1,3,0,3
3,201400,3,557,13,3,4,1,1,3,1
4,201400,3,242,12,5,2,0,3,2,0
5,201400,3,73,3,0,3,0,0,0,0
6,201400,3,1474,25,11,7,1,3,1,2
7,201400,3,315,11,3,4,1,1,2,0
8,201400,3,116,5,4,1,0,0,0,0
9,201400,3,447,24,8,4,3,6,1,2
10,201400,3,55,3,0,0,2,0,1,0
11,201400,3,333,11,5,1,0,2,1,2
12,201400,3,26,0,0,0,0,0,0,0
13,201400,3,90,3,0,1,0,1,0,1
14,201400,3,216,7,1,0,0,3,2,1
15,201400,3,155,9,3,3,1,1,0,1
16,201400,3,125,6,0,0,1,4,0,1
2,201500,3,847,73,12,30,10,14,2,5
1,201500,3,680,57,16,16,10,6,3,6
3,201500,3,1574,92,15,32,12,13,14,6
4,201500,3,1087,99,17,39,12,10,6,15
5,201500,3,295,15,2,6,3,1,2,1
6,201500,3,4156,187,81,68,9,9,7,13
7,201500,3,1272,135,28,55,17,27,6,2
8,201500,3,499,55,14,16,7,6,5,7
9,201500,3,1733,146,46,43,16,27,3,11
10,201500,3,227,22,6,3,5,3,1,4
11,201500,3,1218,72,11,27,9,11,3,11
12,201500,3,102,5,1,1,1,1,0,1
13,201500,3,297,27,7,4,6,5,3,2
14,201500,3,917,96,11,46,16,11,6,6
15,201500,3,679,56,20,11,8,10,4,3
16,201500,3,484,36,12,12,6,2,1,3
2,201600,3,12378,3837,1299,1055,358,570,222,333
1,201600,3,10093,3736,960,1008,366,725,287,390
3,201600,3,16550,5945,1558,1754,640,896,674,423
4,201600,3,13631,4604,1058,1332,473,933,342,466
5,201600,3,2825,623,97,277,89,84,28,48
6,201600,3,31975,8827,4127,2393,564,903,496,344
7,201600,3,19019,6672,1943,1740,668,1718,351,252
8,201600,3,8089,2426,919,386,276,506,181,158
9,201600,3,29337,9816,3466,2590,881,2146,342,391
10,201600,3,3080,685,164,96,164,152,55,54
11,201600,3,12631,3422,985,945,350,618,171,353
12,201600,3,1134,224,35,42,52,72,12,11
13,201600,3,4180,1074,323,211,197,229,57,57
14,201600,3,11638,3516,647,1039,578,737,259,256
15,201600,3,10880,3181,1190,723,331,525,245,167
16,201600,3,6216,1958,608,333,307,495,75,140
2,201700,3,14408,5127,1986,1097,373,624,326,721
1,201700,3,11342,4904,1686,1113,300,770,401,634
3,201700,3,20271,8787,2704,1883,724,714,1819,943
4,201700,3,15336,5428,1493,1246,558,868,552,711
5,201700,3,3095,701,108,248,129,84,35,97
6,201700,3,37172,12737,6854,2530,594,999,1081,679
7,201700,3,22794,8195,2527,2042,702,1490,809,625
8,201700,3,9720,3678,1669,514,303,492,305,395
9,201700,3,33497,11687,4461,2929,921,2246,428,702
10,201700,3,3238,756,137,122,211,123,64,99
11,201700,3,15753,6130,2478,1397,373,649,389,844
12,201700,3,1446,260,57,33,78,76,6,10
13,201700,3,5195,1388,508,285,180,290,52,73
14,201700,3,12724,3766,779,931,514,705,439,398
15,201700,3,12813,3931,1499,1005,362,387,322,356
16,201700,3,6915,2281,736,403,380,478,77,207
2,201800,3,16792,6753,2864,1463,437,799,448,742
1,201800,3,12246,5544,2081,1225,387,834,428,589
3,201800,3,22743,10770,3116,2366,850,1330,2154,954
4,201800,3,17059,6531,1938,1433,639,980,687,854
5,201800,3,3544,917,182,298,132,96,64,145
