alcaldia_id,tiempo_id,fuente_datos_id,target_robos_patrimoniales_total,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo,target_robos_log1p
3,202200,4,5174,1184,1326,159,481,1306,718,8.55159461813357
4,202200,4,4585,1191,1144,248,401,771,830,8.43076346341785
5,202200,4,677,120,237,67,73,49,131,6.519147287940395
6,202200,4,8927,2991,1830,255,798,2298,755,9.096947684621092
7,202200,4,5572,1674,1502,336,807,824,429,8.625688787569537
8,202200,4,2173,954,295,140,247,334,203,7.684324067681155
9,202200,4,7601,3195,1541,590,909,706,660,8.936166649549195
10,202200,4,684,200,95,114,76,84,115,6.529418838262226
11,202200,4,3843,1316,852,140,303,633,599,8.254268770090183
12,202200,4,223,74,26,58,41,15,9,5.41164605185504
13,202200,4,1212,459,142,144,270,95,102,7.10085190894405
14,202200,4,3522,895,799,289,417,370,752,8.167068178341237
15,202200,4,3402,1480,614,160,311,608,229,8.132412674500905
16,202200,4,1484,529,159,201,260,124,211,7.3031700512368
2,202300,4,3567,1156,1032,201,232,380,566,8.1797604936999
1,202300,4,2800,658,939,148,279,463,313,7.937731775260109
3,202300,4,5646,993,1386,159,466,1796,846,8.638879709672837
4,202300,4,4563,992,1264,270,427,863,747,8.425954710981966
5,202300,4,688,102,275,63,25,99,124,6.535241271013659
6,202300,4,9625,2898,1926,337,673,2968,823,9.172223049863057
7,202300,4,5374,1347,1626,368,694,925,414,8.589513852995864
8,202300,4,2002,724,240,129,227,449,233,7.602401335665818
9,202300,4,6698,2520,1433,533,816,817,579,8.809713540508268
10,202300,4,785,244,132,96,77,110,126,6.666956792429207
11,202300,4,3964,1078,981,156,329,779,641,8.285261134068948
12,202300,4,227,48,22,82,46,13,16,5.429345628954441
13,202300,4,1169,387,204,161,245,97,75,7.064759027791802
14,202300,4,3549,730,937,317,347,452,766,8.174702882469461
15,202300,4,3229,1251,517,196,301,738,226,8.080237416216702
16,202300,4,1264,371,182,203,192,102,214,7.142827401161621
2,202400,4,3045,1180,759,160,146,362,438,8.021584533455107
1,202400,4,2441,566,821,121,218,445,270,7.80057265467065
3,202400,4,5205,959,1231,171,406,1605,833,8.55756708555451
4,202400,4,4241,953,1097,279,387,940,585,8.352790135124629
5,202400,4,758,114,295,73,25,150,101,6.63200177739563
6,202400,4,9016,2977,1729,333,672,2574,731,9.106866963499908
7,202400,4,4563,1109,1225,321,586,946,376,8.425954710981966
8,202400,4,1963,718,255,96,238,391,265,7.582738488914411
9,202400,4,5612,2432,1084,429,680,535,452,8.6328406149422
10,202400,4,714,203,101,116,73,85,136,6.572282542694008
11,202400,4,3487,990,842,152,331,597,575,8.15708378502887
12,202400,4,198,66,12,53,44,15,8,5.293304824724492
13,202400,4,1020,425,167,139,148,73,68,6.928537818164665
14,202400,4,3309,718,798,344,407,396,646,8.104703468371108
15,202400,4,2669,1019,427,145,227,665,186,7.889833751394295
16,202400,4,1160,285,168,215,150,119,223,7.057036981697891
2,202500,4,229,81,62,7,11,45,23,5.438079308923196
1,202500,4,187,43,62,4,18,40,20,5.236441962829949
3,202500,4,327,54,69,14,19,109,62,5.793013608384144
4,202500,4,321,72,80,10,21,101,37,5.7745515455444085
5,202500,4,43,8,14,6,1,7,7,3.784189633918261
6,202500,4,610,193,110,25,52,163,67,6.415096959171596
7,202500,4,265,83,57,14,30,59,22,5.583496308781699
8,202500,4,129,42,23,11,11,27,15,4.867534450455582
9,202500,4,400,184,67,26,32,61,30,5.993961427306569
10,202500,4,40,10,6,5,10,2,7,3.713572066704308
11,202500,4,235,62,58,12,18,35,50,5.4638318050256105
12,202500,4,14,5,0,4,3,2,0,2.70805020110221
13,202500,4,70,32,10,8,12,7,1,4.262679877041316
14,202500,4,198,47,44,22,17,22,46,5.293304824724492
15,202500,4,155,49,32,6,11,45,12,5.049856007249537
16,202500,4,89,29,11,18,5,9,17,4.499809670330265
