alcaldia_key,alcaldia_nombre,alcaldia_id,anio,tiempo_id,total_delitos_fgj,total_robos_patrimoniales,total_no_robos_patrimoniales,share_robos_patrimoniales_sobre_total_delitos
COYOACAN,Coyoacan,4,2020,202000,13634,4476,9158,0.32829690479683143
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2020,202000,3416,761,2655,0.2227751756440281
CUAUHTEMOC,Cuauhtemoc,6,2020,202000,28615,8004,20611,0.27971343700856194
GUSTAVO A MADERO,Gustavo A Madero,7,2020,202000,21791,6345,15446,0.29117525583956677
IZTACALCO,Iztacalco,8,2020,202000,8161,2336,5825,0.28623943144222525
IZTAPALAPA,Iztapalapa,9,2020,202000,31705,9815,21890,0.30957262261472956
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2020,202000,4061,748,3313,0.1841910859394238
MIGUEL HIDALGO,Miguel Hidalgo,11,2020,202000,12749,4469,8280,0.3505372970429053
MILPA ALTA,Milpa Alta,12,2020,202000,1782,253,1529,0.1419753086419753
TLAHUAC,Tlahuac,13,2020,202000,5997,1250,4747,0.20843755210938802
TLALPAN,Tlalpan,14,2020,202000,12726,3663,9063,0.28783592644978784
VENUSTIANO CARRANZA,Venustiano Carranza,15,2020,202000,11909,3395,8514,0.2850785120497103
XOCHIMILCO,Xochimilco,16,2020,202000,7131,1629,5502,0.22843920908708457
ALVARO OBREGON,Alvaro Obregon,2,2021,202100,15997,4092,11905,0.2557979621178971
AZCAPOTZALCO,Azcapotzalco,1,2021,202100,11564,3568,7996,0.3085437564856451
BENITO JUAREZ,Benito Juarez,3,2021,202100,16146,5465,10681,0.3384739254304472
COYOACAN,Coyoacan,4,2021,202100,15602,4596,11006,0.29457761825407
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2021,202100,3919,758,3161,0.19341668793059455
CUAUHTEMOC,Cuauhtemoc,6,2021,202100,33188,8231,24957,0.2480113293961673
GUSTAVO A MADERO,Gustavo A Madero,7,2021,202100,23694,6115,17579,0.25808221490672745
IZTACALCO,Iztacalco,8,2021,202100,9566,2344,7222,0.24503449717750367
IZTAPALAPA,Iztapalapa,9,2021,202100,33339,8804,24535,0.2640751072317706
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2021,202100,4479,733,3746,0.16365260102701495
MIGUEL HIDALGO,Miguel Hidalgo,11,2021,202100,13630,4317,9313,0.31672780630961117
MILPA ALTA,Milpa Alta,12,2021,202100,2403,293,2110,0.12193091968372867
TLAHUAC,Tlahuac,13,2021,202100,7153,1281,5872,0.17908569830840207
TLALPAN,Tlalpan,14,2021,202100,13908,3552,10356,0.2553925798101812
VENUSTIANO CARRANZA,Venustiano Carranza,15,2021,202100,12907,3549,9358,0.2749670721314016
XOCHIMILCO,Xochimilco,16,2021,202100,7623,1480,6143,0.19414928505837598
ALVARO OBREGON,Alvaro Obregon,2,2022,202200,15608,3524,12084,0.22578165043567403
AZCAPOTZALCO,Azcapotzalco,1,2022,202200,11595,3073,8522,0.265028029322984
BENITO JUAREZ,Benito Juarez,3,2022,202200,16887,5174,11713,0.30638953040800615
COYOACAN,Coyoacan,4,2022,202200,16945,4585,12360,0.2705812924166421
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2022,202200,3968,677,3291,0.17061491935483872
CUAUHTEMOC,Cuauhtemoc,6,2022,202200,35575,8927,26648,0.2509346451159522
GUSTAVO A MADERO,Gustavo A Madero,7,2022,202200,24078,5572,18506,0.2314145693163884
IZTACALCO,Iztacalco,8,2022,202200,11170,2173,8997,0.1945389435989257
IZTAPALAPA,Iztapalapa,9,2022,202200,33576,7601,25975,0.22638193948058136
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2022,202200,4673,684,3989,0.14637277979884442
MIGUEL HIDALGO,Miguel Hidalgo,11,2022,202200,13878,3843,10035,0.27691309987029833
MILPA ALTA,Milpa Alta,12,2022,202200,2688,223,2465,0.08296130952380952
TLAHUAC,Tlahuac,13,2022,202200,7723,1212,6511,0.1569338340023307
TLALPAN,Tlalpan,14,2022,202200,14531,3522,11009,0.24237836349872685
VENUSTIANO CARRANZA,Venustiano Carranza,15,2022,202200,13229,3402,9827,0.2571622949580467
XOCHIMILCO,Xochimilco,16,2022,202200,8004,1484,6520,0.1854072963518241
ALVARO OBREGON,Alvaro Obregon,2,2023,202300,15626,3567,12059,0.2282733905030078
AZCAPOTZALCO,Azcapotzalco,1,2023,202300,10129,2800,7329,0.27643400138217
BENITO JUAREZ,Benito Juarez,3,2023,202300,16849,5646,11203,0.33509407086473975
COYOACAN,Coyoacan,4,2023,202300,16330,4563,11767,0.2794243723208818
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2023,202300,4296,688,3608,0.1601489757914339
CUAUHTEMOC,Cuauhtemoc,6,2023,202300,32800,9625,23175,0.2934451219512195
GUSTAVO A MADERO,Gustavo A Madero,7,2023,202300,23353,5374,17979,0.23012032715282832
IZTACALCO,Iztacalco,8,2023,202300,10454,2002,8452,0.1915056437727186
IZTAPALAPA,Iztapalapa,9,2023,202300,32770,6698,26072,0.20439426304546843
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2023,202300,4856,785,4071,0.16165568369028008
MIGUEL HIDALGO,Miguel Hidalgo,11,2023,202300,13748,3964,9784,0.28833284841431484
MILPA ALTA,Milpa Alta,12,2023,202300,2402,227,2175,0.09450457951706911
TLAHUAC,Tlahuac,13,2023,202300,7740,1169,6571,0.15103359173126615
TLALPAN,Tlalpan,14,2023,202300,14617,3549,11068,0.24279948005746732
VENUSTIANO CARRANZA,Venustiano Carranza,15,2023,202300,13147,3229,9918,0.24560736289647828
XOCHIMILCO,Xochimilco,16,2023,202300,7934,1264,6670,0.15931434333249306
ALVARO OBREGON,Alvaro Obregon,2,2024,202400,13642,3045,10597,0.22320774080046915
AZCAPOTZALCO,Azcapotzalco,1,2024,202400,8999,2441,6558,0.27125236137348596
BENITO JUAREZ,Benito Juarez,3,2024,202400,15740,5205,10535,0.3306861499364676
COYOACAN,Coyoacan,4,2024,202400,14936,4241,10695,0.28394483128012854
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2024,202400,3681,758,2923,0.20592230372181472
CUAUHTEMOC,Cuauhtemoc,6,2024,202400,29703,9016,20687,0.3035383631283035
GUSTAVO A MADERO,Gustavo A Madero,7,2024,202400,20743,4563,16180,0.2199778238441884
IZTACALCO,Iztacalco,8,2024,202400,9865,1963,7902,0.1989863152559554
