alcaldia_key,alcaldia_nombre,alcaldia_id,anio,mes,tiempo_id,subtipo_robo_patrimonial,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
COYOACAN,Coyoacan,4,2000,8,200008,OTRO,1,1,19.35229,-99.12431
CUAUHTEMOC,Cuauhtemoc,6,2000,8,200008,OTRO,2,2,19.427755,-99.14573999999999
CUAUHTEMOC,Cuauhtemoc,6,2000,8,200008,ROBO_DE_ACCESORIOS_AUTO,1,1,19.43105,-99.1466
GUSTAVO A MADERO,Gustavo A Madero,7,2000,8,200008,OTRO,4,4,19.50572946018325,-99.1213796217
IZTAPALAPA,Iztapalapa,9,2000,8,200008,OTRO,1,1,19.3617283823337,-99.1349626183266
MIGUEL HIDALGO,Miguel Hidalgo,11,2000,8,200008,OTRO,1,1,19.44768,-99.16587
MIGUEL HIDALGO,Miguel Hidalgo,11,2000,8,200008,ROBO_A_TRANSEUNTE,1,1,19.4578862789136,-99.2024697200554
MILPA ALTA,Milpa Alta,12,2000,8,200008,OTRO,1,1,19.1853751389332,-99.0339172132719
TLAHUAC,Tlahuac,13,2000,8,200008,OTRO,1,1,19.2755238234,-98.9949956211
TLAHUAC,Tlahuac,13,2000,8,200008,ROBO_A_TRANSEUNTE,1,1,19.269209720768,-99.0079115297227
VENUSTIANO CARRANZA,Venustiano Carranza,15,2000,8,200008,OTRO,2,2,19.4278720481666,-99.12170649992001
AZCAPOTZALCO,Azcapotzalco,1,2000,9,200009,OTRO,1,1,19.49759455287081,-99.19555287970468
BENITO JUAREZ,Benito Juarez,3,2000,9,200009,ROBO_DE_ACCESORIOS_AUTO,1,1,19.39742,-99.14011
CUAUHTEMOC,Cuauhtemoc,6,2000,9,200009,OTRO,6,6,19.426989692766384,-99.14695774082935
GUSTAVO A MADERO,Gustavo A Madero,7,2000,9,200009,OTRO,2,2,19.50742,-99.1137
IZTAPALAPA,Iztapalapa,9,2000,9,200009,OTRO,2,2,19.34155634198115,-99.08557204521699
XOCHIMILCO,Xochimilco,16,2000,9,200009,OTRO,1,1,19.2351909528013,-99.128426113615
AZCAPOTZALCO,Azcapotzalco,1,2000,10,200010,OTRO,3,3,19.47950243569197,-99.18039632172122
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2000,10,200010,OTRO,1,1,19.3813218342045,-99.2546831196251
IZTACALCO,Iztacalco,8,2000,10,200010,OTRO,1,1,19.4108791329364,-99.0700958703875
IZTAPALAPA,Iztapalapa,9,2000,10,200010,OTRO,2,0,\N,\N
XOCHIMILCO,Xochimilco,16,2000,10,200010,OTRO,2,2,19.271880000000003,-99.11932999999999
AZCAPOTZALCO,Azcapotzalco,1,2000,11,200011,OTRO,1,1,19.50193,-99.20397
COYOACAN,Coyoacan,4,2000,11,200011,ROBO_A_NEGOCIO,1,1,19.3027091940083,-99.190212790198
CUAUHTEMOC,Cuauhtemoc,6,2000,11,200011,OTRO,2,1,19.41921,-99.15412
IZTACALCO,Iztacalco,8,2000,11,200011,OTRO,2,2,19.40219355793295,-99.09399724995356
IZTAPALAPA,Iztapalapa,9,2000,11,200011,OTRO,2,2,19.333473440215748,-99.0417185136581
MIGUEL HIDALGO,Miguel Hidalgo,11,2000,11,200011,OTRO,1,1,19.42673,-99.19181
VENUSTIANO CARRANZA,Venustiano Carranza,15,2000,11,200011,OTRO,2,2,19.421882169224,-99.091266769429
VENUSTIANO CARRANZA,Venustiano Carranza,15,2000,11,200011,ROBO_DE_VEHICULO,1,1,19.40947,-99.07989
XOCHIMILCO,Xochimilco,16,2000,11,200011,OTRO,1,1,19.26963,-99.12417
ALVARO OBREGON,Alvaro Obregon,2,2000,12,200012,OTRO,2,2,19.3659714784,-99.2216637246
ALVARO OBREGON,Alvaro Obregon,2,2000,12,200012,ROBO_DE_VEHICULO,1,1,19.32723,-99.26573
CUAUHTEMOC,Cuauhtemoc,6,2000,12,200012,OTRO,3,2,19.429425000000002,-99.14338
CUAUHTEMOC,Cuauhtemoc,6,2000,12,200012,ROBO_A_NEGOCIO,1,1,19.40648,-99.1723
IZTACALCO,Iztacalco,8,2000,12,200012,OTRO,1,1,19.3841345196644,-99.1111541574288
IZTAPALAPA,Iztapalapa,9,2000,12,200012,OTRO,1,1,19.3005279082,-99.0798828383
ALVARO OBREGON,Alvaro Obregon,2,2001,1,200101,OTRO,1,0,\N,\N
AZCAPOTZALCO,Azcapotzalco,1,2001,1,200101,OTRO,1,1,19.4585654664665,-99.1632258988216
AZCAPOTZALCO,Azcapotzalco,1,2001,1,200101,ROBO_A_NEGOCIO,1,1,19.46937,-99.17297
BENITO JUAREZ,Benito Juarez,3,2001,1,200101,OTRO,2,2,19.368128838884047,-99.1473823072374
COYOACAN,Coyoacan,4,2001,1,200101,OTRO,3,3,19.3272821695496,-99.12151617999393
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2001,1,200101,OTRO,1,1,19.3316087558407,-99.3255449401705
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2001,1,200101,ROBO_DEL_INTERIOR_DE_VEHICULO,1,1,19.34042,-99.31079
CUAUHTEMOC,Cuauhtemoc,6,2001,1,200101,OTRO,1,1,19.4273888597686,-99.1270747401428
GUSTAVO A MADERO,Gustavo A Madero,7,2001,1,200101,OTRO,2,2,19.547302263735652,-99.14092944403555
IZTACALCO,Iztacalco,8,2001,1,200101,OTRO,2,2,19.39735659440445,-99.0993770498851
IZTAPALAPA,Iztapalapa,9,2001,1,200101,OTRO,4,3,19.345836666666667,-99.10359333333334
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2001,1,200101,OTRO,1,1,19.3136160273139,-99.2448496203873
MIGUEL HIDALGO,Miguel Hidalgo,11,2001,1,200101,OTRO,1,1,19.45393,-99.18891
TLAHUAC,Tlahuac,13,2001,1,200101,OTRO,2,2,19.2342695173,-98.98699278539999
TLALPAN,Tlalpan,14,2001,1,200101,OTRO,1,1,19.2784576243196,-99.1604235729082
VENUSTIANO CARRANZA,Venustiano Carranza,15,2001,1,200101,OTRO,2,2,19.422635,-99.10747
ALVARO OBREGON,Alvaro Obregon,2,2001,2,200102,OTRO,4,3,19.337879780277266,-99.19877258408519
