alcaldia_key,alcaldia_nombre,alcaldia_id,anio,tiempo_id,n_registros_sociales,factor_sum,mmip_wmean,rei_wmean,nbi_wmean,ccevj_wmean,cbdj_wmean,csj_wmean,ctelj_wmean,cenj_wmean,ett_wmean,casi_wmean,cassi_wmean,cyt_wmean,total_delitos_fgj,total_robos_patrimoniales,target_robos_patrimoniales_total,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo,colonias_count,mercados_total,locales_total,iluminacion_total,iluminacion_promedio,residuos_ton_total,equipamiento_salud_total,equipamiento_educativo_total,agua_potable_promedio,electricidad_promedio,drenaje_promedio,infraestructura_actualizacion_anio,infraestructura_es_snapshot,infraestructura_uso_recomendado
ALVARO OBREGON,Alvaro Obregon,2,2016,201600,397,659539.0,-0.016351231071553,-0.0950120654133675,-0.0205409783058075,-0.0859893559518557,-0.4496209053687394,0.0676438634422285,-0.3076072832690713,0.0,0.9784258141660614,0.0834918411369502,0.3609589425341034,-0.0138480910024926,12378,3837,3837,1299,1055,358,570,222,333,248,16.0,1876.0,11584.0,2.2565744992868404,664.60456,42.0,319.0,95.67409472,96.6616288,2.828,2022,True,variable estructural contextual; no interpretar como medicion anual
AZCAPOTZALCO,Azcapotzalco,1,2016,201600,245,393527.0,-0.0063737778446002,-0.0692602952394854,-0.0184149550037837,-0.0831500560109446,-0.4571621001911686,0.0878106838920836,-0.2883182094240039,0.0050334535651988,1.0004315042099576,0.0971846437685139,0.3054917451661512,0.0008201518308095,10093,3736,3736,960,1008,366,725,287,390,111,19.0,3537.0,5064.0,1.6328517199379278,539.1301,39.0,258.0,96.53147945945943,97.6758452252252,2.945945945945946,2022,True,variable estructural contextual; no interpretar como medicion anual
BENITO JUAREZ,Benito Juarez,3,2016,201600,242,525216.0,-0.3209875908940741,-0.2494389902814537,-0.212123454441424,-0.3256148709742411,-0.7089013397855797,0.0208985445987936,-0.4436774584171084,0.0,0.962998408772071,-0.1509822096789892,0.2018598062511424,-0.3860278258380913,16550,5945,5945,1558,1754,640,896,674,423,64,16.0,3723.0,3076.0,1.4087581305501562,662.9490000000001,32.0,149.0,97.84046671875,98.330095625,2.75,2022,True,variable estructural contextual; no interpretar como medicion anual
COYOACAN,Coyoacan,4,2016,201600,277,459883.0,0.0107566218390764,-0.0816898612037431,0.029540443983835,0.0080960739483498,-0.3041034977147383,0.129662794262906,-0.3146800381836249,0.0,0.9642092272926048,0.102277941202732,0.3814296244914467,-0.0004656620265045,13631,4604,4604,1058,1332,473,933,342,466,153,23.0,3562.0,8398.0,1.7985161285440523,831.3516999999999,49.0,276.0,97.87446483660128,98.57534810457516,2.6405228758169934,2022,True,variable estructural contextual; no interpretar como medicion anual
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,201600,169,216080.0,0.0977523502544428,0.0095505837050166,0.1168355791342743,0.20066457601306,-0.2250122220191873,0.2251223101558681,-0.1800606256941873,0.0091799328072195,1.0316188959947936,0.1290881747826777,0.2852554609403924,0.086351188101629,2825,623,623,97,277,89,84,28,48,43,5.0,405.0,2427.0,2.594454291745349,172.88879999999995,29.0,93.0,89.21024860465116,91.28274046511628,3.116279069767442,2022,True,variable estructural contextual; no interpretar como medicion anual
CUAUHTEMOC,Cuauhtemoc,6,2016,201600,589,951496.0,-0.0350684865380726,-0.1301293475289617,-0.074666017818696,-0.1983672927268469,-0.3492887808332258,0.0219461114626104,-0.392482995199139,0.0003073055298771,1.0777357599230852,0.0422108819534512,0.3275531373752491,-0.011411174843642,31975,8827,8827,4127,2393,564,903,496,344,64,38.0,14228.0,4265.0,1.54956442772,1324.245,93.0,332.0,97.69165296875,98.32475203125,3.421875,2022,True,variable estructural contextual; no interpretar como medicion anual
GUSTAVO A MADERO,Gustavo A Madero,7,2016,201600,672,1016468.0,0.1135036584583872,-0.0262613340059352,0.0516085537958292,-0.0006895171060377,-0.326944712296088,0.1145924515032386,-0.2745192175257853,0.0009342152856991,1.0409569827954577,0.1612934335578149,0.4108951290153748,0.1504825221693048,19019,6672,6672,1943,1740,668,1718,351,252,231,51.0,9994.0,14818.0,1.8092148407789608,1761.394,90.0,626.0,96.75912303030304,98.06645393939397,2.67965367965368,2022,True,variable estructural contextual; no interpretar como medicion anual
IZTACALCO,Iztacalco,8,2016,201600,286,458083.0,0.072059934975476,-0.0998460623567781,0.0343470686527834,0.0171395410751523,-0.4091352809748364,0.1065491224238227,-0.3245132432332132,0.0061124290401521,1.106484704702842,0.1622118842496163,0.4147545313840505,0.0945912646452651,8089,2426,2426,919,386,276,506,181,158,55,17.0,3145.0,4797.0,1.7289957085934544,476.5750000000001,20.0,219.0,98.77059709090908,99.21785290909094,2.6,2022,True,variable estructural contextual; no interpretar como medicion anual
IZTAPALAPA,Iztapalapa,9,2016,201600,1080,1667333.0,0.1874461190501405,0.0097222108740689,0.1348736711011279,0.1338847889226681,-0.2995213141565182,0.247083352434152,-0.225090009014396,0.0011407438621319,1.0417328341375178,0.1934178390576849,0.5388502176829704,0.218855217978423,29337,9816,9816,3466,2590,881,2146,342,391,292,20.0,3027.0,27776.0,1.9567270967818768,2127.054,88.0,847.0,97.26181447098976,98.59169921501706,2.604095563139932,2022,True,variable estructural contextual; no interpretar como medicion anual
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,201600,81,133845.0,0.01861352328208,-0.0917418136580746,0.0236226100316634,0.0431347753942918,-0.4543306979969367,0.1313049608133886,-0.2759834136501177,0.0,0.8749030364982255,0.0519060039651611,0.3784676304680787,0.0156208754934065,3080,685,685,164,96,164,152,55,54,52,5.0,354.0,3384.0,2.4471113462538456,259.09610000000004,32.0,111.0,92.5148126923077,98.93637057692308,2.730769230769231,2022,True,variable estructural contextual; no interpretar como medicion anual
